endereco,sku,produto,quantidade
A01,PERCLIQ1L,QUIMIVIDA PERCARBONATO LIQUIDO 1L,10
A01,ACISO120,QUIMIVIDA ÁLCOOL ISOPROPILICO 120ML,15
A01,,QUIMIVIDA LAVA LOUÇAS 1KG,7
A02,,QUIMIVIDA LAVA LOUÇAS 450G,14
A02,ACISO1L,QUIMIVIDA ÁLCOOL ISOPROPILICO 1L,6
A02,,QUIMIVIDA AEVO PERCABONATO 1KG,169
A03,,VIGUT DESINFETANTES E CLOROS,41
A04,PERCS1KG,QUIMIVIDA PERCARBONATO 1KG,58
A05,SECLVLÇ250,QUIMIVIDA SECANTE LAVA LOUÇAS 250ML,3
A05,ANTIMOF1KG,QUIMIVIDA ANTI-MOFO 1KG,24
A06,INT100,THORIUM INTERFOLHA 100%,2
A07,HGPCBLA,QUIMIVIDA PERCARBONATO BLACK 1KG,6
A08,PERCS1KG,QUIMIVIDA PERCARBONATO 1KG,13
A09,INT100,THORIUM INTERFOLHA 100%,0
A10,,QUIMIVIDA NAFTALINA 1KG,3
A10,,QUIMIVIDA DIA A DIA 1KG,3
A10,,QUIMIVIDA IMPERMEABILIZANTE DE VIDROS 120ML,794
A10,HIGANTIMOF,HIGIENITA ANTI-MOFO 1KG,0
A11,SCTCH,SCOTCH BRITE,42
A12,THINTVG,THORIUM INTERFOLHA VIRGEM,252
A13,QVLPMQLV1L,QUIMIVIDA LIMPA MAQUINA 1L,25
A14,HIGPERCA,HIGIENITA PERCARBONATO 1KG,398
A14,HIGANTIMOF,HIGIENITA ANTI-MOFO 1KG,0
A14,HGPCBLA,HIGIENITA PERCARBONATO BLACK 1KG,0
A15,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,487
A17,PERCS1KG,QUIMIVIDA PERCARBONATO 1KG,50
A18,QUALFD4-16,FARDO PAPEL HIGIENICO NEVE 4 ROLOS,89
A18,,FARDO PAPEL TOALHA SNOB,0
A19,LPCERCIT1L,START LIMPA CERÂMICAS 1L,398
A20,LPCERAZ2L,START LIMPA CERÂMICAS 2L,602
A21,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,34
A22,LIMPAZL5L,START LIMPA CERÂMICAS 5L,432
A23,PRET2L,START PRETITA 2L,25
A24,DESINEO1L,START DESINFETANTES 1L,198
A25,LIMPAZL1L,START AZULIM LIMPA CERAMICAS E AZULEJOS LAVANDA 1L,0
A26,DLSTART5L,START DESENGRAX DL 5L,554
A27,RLCLAS,CLASSIC ROLÃO 100%,90
A27,CLARLBR,CLASSIC ROLÃO BRANCO,37
A27,,CLASSPEL ROLÃO,4
A28,MAGICO5L,START MAGICO 5L,11
A29,,START CERA LIQUIDA POLYLAR 5L,554
A31,FLOGEL5,START GEL LIMPADOR FLORAL 5L,0
A31,LAVGEL5L,START GEL LIMPADOR LAVANDA 5L,265
A31,MARIGEL5L,START GEL LIMPADOR MARINER 5L,0
A31,ASSABANT,START ASSEPT GEL SABONETE SEM AROMA 5L,44
A31,SABERV5L,START ONLY SABONETE ERVA DOCE 5L,39
A32,,IPEL NOBBY FOLHA SIMPLES 30x31 F.S,61
A33,,IPEL NOBBY FOLHA SIMPLES 30x31 F.S,45
A34,SH30005L,START SH 3000 5L,4
A36,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,192
A38,,HIGIENITA ESCOVA SANITARIA,0
A39,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,0
A40,MAXI5L,START MAXIMOON 5L,143
A41,,DONA RITA POTE DE MOLHO 30ML,87
A42,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,192
A43,AZLPCHBR1L,START LIMPADOR PERFUMADO CHÁ BRANCO 1L,0
A43,LPCH3L,START LIMPADOR PERFUMADO CHÁ BRANCO 3L,5
A44,,HIGIENITA ESCOVA SANITARIA,3
A45,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,6
A46,AGE1L,AGE INSETICIDA 1L,34
A48,,IPEL NOBBY 21x22 F.S,10
A49,,START LIMPA PORCELANATOS LAVANDA E CITRUS 5L,86
A50,SABPESS500,START ONLY SABONETES 500ML,123
A51,HIGBALRET,HIGIENITA BALDE RETRATIL,20
A52,LPCLR5%5,LARILIMP CLORO LÍQUIDO 5L,61
A52,LPCLR12%5,LARILIMP CLORO LÍQUIDO 12% 5L,0
A52,LPLPALU5L,LARILIMP LIMPA ALUMÍNIO 5L,10
A53,,"VIGUT SABÃO LIQUIDO ERVA DOCE, COCO E DOVEX 5L",0
A54,HIGMANBOR,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERI,0
A55,"LPCLR2,5%5","LARILIMP CLORO LIQUIDO 2,5% 5L",505
A56,,LARILIMP CLORO POWER 5L E VIGUT DESINFETANTES 5L,10
A57,,PALETES,682
A58,LPMTUS5,LARILIMP MULTIUSO 5L,0
A59,DSTALC5,VIGUT DESINFETANTES 5L,0
A60,,PALETES,0
B01,PED5L,START PEDREX 5L,682
B02,PED5L,START PEDREX 5L,0
B03,,CRISTAL COPO 180ML PP,205
B03,CXFCCP180,FAÇA FACIL COPO 180ML PS,682
B03,,FACILITA COPO 330ML,0
B04,PED5L,START PEDREX 5L,0
B05,PED5L,START PEDREX 5L,682
B06,CXCPM180BR,COPOMAIS COPO 180ML BRANCO,0
B07,CERAUTBRI,START CERA AUTO BRILHO 5L,0
B08,CERAUTBRI,START CERA AUTO BRILHO 5L,79
A09,TBSF330,CRISTAL COPO TAMPA BOLHA SEM FURO 330ML,44
A09,GTPCF440,GALVANOTEK TAMPA BOLHA SEM FURO 440ML,17
B10,CERAUTBRI,START CERA AUTO BRILHO 5L,38
B11,CERAUTBRI,START CERA AUTO BRILHO 5L,22
B12,ANTIMOF1KG,QUIMIVIDA ANTI-MOFO 1KG,0
B13,STARTGR5L,START GRILL 5L,1
B13,PUSTRGRL5L,START PRO LIMPA CHAPAS E GRELHAS 5L,89
B14,ASPTGEL5L,"START ASSEPTGEL ÁLCOOL GEL 4,3KG",134
B15,,GALVANOTEK CAIXAS DE BOLO,0
B16,ASACLIQ5L,START ASSEPTGEL ÁLCOOL LÍQUIDO 5L,44
B17,,START TUFF PASSA FÁCIL 500ML,20
B18,HIGBALRET,HIGIENITA BALDE RETRATIL,0
B19,CP30005L,START CP3000 5L,0
B20,GEL70VALV,START ASSEPTGEL GEL VALVULA 420G,0
B21,,GALVANOTEK CAIXAS DE BOLO,52
B22,CERAACR5L,START CERA ACRÍLICA 5L,51
B23,CERAACR2L,START CERA ACRÍLICA 2L,98
