linha,endereco,sku,produto_planilha,quantidade,produto_match,origem_match,score,revisar
2,A01,PERCLIQ1L,QUIMIVIDA PERCARBONATO LIQUIDO 1L,10,QUIMIVIDA PERCARBONATO DE SODIO LIQUIDO 1L,catalogo,92.2,
3,A01,ACISO120,QUIMIVIDA ÁLCOOL ISOPROPILICO 120ML,15,QUIMIVIDA ALCOOL ISOPROPILICO 120ML,catalogo,100,
4,A01,,QUIMIVIDA LAVA LOUÇAS 1KG,7,QUIMIVIDA LAVA LOUÇAS 1KG,planilha,0,sim
5,A02,,QUIMIVIDA LAVA LOUÇAS 450G,14,QUIMIVIDA LAVA LOUÇAS 450G,planilha,0,sim
6,A02,ACISO1L,QUIMIVIDA ÁLCOOL ISOPROPILICO 1L,6,QUIMVIDA ALCOOL ISOPROPILICO 1L,catalogo,90.2,
7,A02,,QUIMIVIDA AEVO PERCABONATO 1KG,169,QUIMIVIDA AEVO PERCABONATO 1KG,planilha,0,sim
8,A03,,VIGUT DESINFETANTES E CLOROS,41,VIGUT DESINFETANTES E CLOROS,planilha,0,sim
9,A04,PERCS1KG,QUIMIVIDA PERCARBONATO 1KG,58,QUIMIVIDA PERCARBONATO DE SODIO 1KG,catalogo,90.4,
10,A05,SECLVLÇ250,QUIMIVIDA SECANTE LAVA LOUÇAS 250ML,3,ALVEJAPRO SECANTE LAVA LOUCA 250ML,catalogo,71.9,sim
11,A05,ANTIMOF1KG,QUIMIVIDA ANTI-MOFO 1KG,24,QUIMIVIDA ANTI-MOFO 1KG,catalogo,100,
12,A06,INT100,THORIUM INTERFOLHA 100%,2,THORIUM INTERFOLHA 100% CELULOSE 20X21,catalogo,91.5,
13,A07,HGPCBLA,QUIMIVIDA PERCARBONATO BLACK 1KG,6,HIGIENITA PERCARBONATO BLACK 1KG,catalogo,81.1,
14,A08,PERCS1KG,QUIMIVIDA PERCARBONATO 1KG,13,QUIMIVIDA PERCARBONATO DE SODIO 1KG,catalogo,90.4,
15,A09,INT100,THORIUM INTERFOLHA 100%,0,THORIUM INTERFOLHA 100% CELULOSE 20X21,catalogo,91.5,
